ta_location_id,hotel_name,amenity
196061,The Dolder Grand,Ironing Service
196061,The Dolder Grand,Italian
196061,The Dolder Grand,Massage
196061,The Dolder Grand,Newspaper
196061,The Dolder Grand,Paid Private Parking On-site
196061,The Dolder Grand,Salon
196061,The Dolder Grand,Shoeshine
196061,The Dolder Grand,Soundproof Rooms
196061,The Dolder Grand,Steam Room
196061,The Dolder Grand,Telephone
196061,The Dolder Grand,Wake Up Service / Alarm Clock
196061,The Dolder Grand,Mountain View
196061,The Dolder Grand,Private Bathrooms
196061,The Dolder Grand,Wardrobe / Closet
188975,Four Seasons George V,Internet
188975,Four Seasons George V,Suites
188975,Four Seasons George V,Room service
188975,Four Seasons George V,Free Internet
188975,Four Seasons George V,Wheelchair access
188975,Four Seasons George V,Restaurant
188975,Four Seasons George V,Bar/Lounge
188975,Four Seasons George V,Pets Allowed
188975,Four Seasons George V,Spa
188975,Four Seasons George V,Airport transportation
188975,Four Seasons George V,Wifi
188975,Four Seasons George V,Public Wifi
188975,Four Seasons George V,Free Wifi
188975,Four Seasons George V,Dry Cleaning
188975,Four Seasons George V,Meeting rooms
188975,Four Seasons George V,Non-smoking rooms
188975,Four Seasons George V,Business center
188975,Four Seasons George V,Fitness center
188975,Four Seasons George V,Laundry Service
188975,Four Seasons George V,Concierge
188975,Four Seasons George V,Banquet Room
188975,Four Seasons George V,Air conditioning
188975,Four Seasons George V,Family Rooms
188975,Four Seasons George V,Multilingual Staff
188975,Four Seasons George V,Accessible rooms
188975,Four Seasons George V,Refrigerator in room
188975,Four Seasons George V,Minibar
188975,Four Seasons George V,Conference Facilities
188975,Four Seasons George V,Babysitting
188975,Four Seasons George V,Non-smoking hotel
188975,Four Seasons George V,Safe
188975,Four Seasons George V,Heated pool
188975,Four Seasons George V,Flatscreen TV
188975,Four Seasons George V,Breakfast Buffet
188975,Four Seasons George V,Indoor pool
188975,Four Seasons George V,Butler Service
188975,Four Seasons George V,Breakfast Available
188975,Four Seasons George V,Facilities for Disabled Guests
188975,Four Seasons George V,Air Purifier
188975,Four Seasons George V,Allergy-free Room
188975,Four Seasons George V,Arabic
188975,Four Seasons George V,Baggage Storage
188975,Four Seasons George V,Bathrobes
188975,Four Seasons George V,Body Wrap
188975,Four Seasons George V,Bottled Water
188975,Four Seasons George V,Breakfast in the Room
188975,Four Seasons George V,Bridal Suite
188975,Four Seasons George V,Cable / Satellite TV
188975,Four Seasons George V,Catalan
188975,Four Seasons George V,Express Check-in / Check-out
188975,Four Seasons George V,Children's Television Networks
188975,Four Seasons George V,Chinese
188975,Four Seasons George V,Couples Massage
188975,Four Seasons George V,Currency Exchange
188975,Four Seasons George V,Doorperson
188975,Four Seasons George V,English
188975,Four Seasons George V,Facial Treatments
188975,Four Seasons George V,Fitness / Spa Locker Rooms
188975,Four Seasons George V,Foot Bath
188975,Four Seasons George V,Foot Massage
188975,Four Seasons George V,Complimentary Toiletries
188975,Four Seasons George V,French
188975,Four Seasons George V,24-Hour Front Desk
188975,Four Seasons George V,Full Body Massage
188975,Four Seasons George V,German
188975,Four Seasons George V,Hair Dryer
188975,Four Seasons George V,Hammam
188975,Four Seasons George V,Hand Massage
188975,Four Seasons George V,Head Massage
188975,Four Seasons George V,Highchairs Available
188975,Four Seasons George V,Icelandic
188975,Four Seasons George V,Interconnected room(s) available
188975,Four Seasons George V,Iron
188975,Four Seasons George V,Ironing Service
188975,Four Seasons George V,Italian
188975,Four Seasons George V,Japanese
188975,Four Seasons George V,Makeup Services
188975,Four Seasons George V,Manicure
188975,Four Seasons George V,Massage
188975,Four Seasons George V,Neck Massage
188975,Four Seasons George V,Newspaper
188975,Four Seasons George V,Pedicure
188975,Four Seasons George V,Personal Trainer
188975,Four Seasons George V,Portuguese
188975,Four Seasons George V,Private Bathrooms
188975,Four Seasons George V,Paid Private Parking On-site
188975,Four Seasons George V,Paid Public Parking Nearby
188975,Four Seasons George V,Russian
188975,Four Seasons George V,Salon
188975,Four Seasons George V,24-Hour Security
188975,Four Seasons George V,Shoeshine
188975,Four Seasons George V,Spanish
188975,Four Seasons George V,Special Diet Menus
188975,Four Seasons George V,Sun Deck
188975,Four Seasons George V,Taxi Service
188975,Four Seasons George V,Telephone
188975,Four Seasons George V,Tile / Marble Floor
188975,Four Seasons George V,Valet Parking
188975,Four Seasons George V,Wake Up Service / Alarm Clock
188975,Four Seasons George V,Wardrobe / Closet
188975,Four Seasons George V,Waxing Services
188975,Four Seasons George V,Wine / Champagne
188975,Four Seasons George V,Photo Copier / Fax In Business Center
7371377,Aman Tokyo,Pool
7371377,Aman Tokyo,Internet
7371377,Aman Tokyo,Suites
7371377,Aman Tokyo,Room service
7371377,Aman Tokyo,Free Internet
7371377,Aman Tokyo,Wheelchair access
7371377,Aman Tokyo,Restaurant
7371377,Aman Tokyo,Bar/Lounge
7371377,Aman Tokyo,Spa
7371377,Aman Tokyo,Airport transportation
7371377,Aman Tokyo,Wifi
7371377,Aman Tokyo,Public Wifi
7371377,Aman Tokyo,Free Wifi
7371377,Aman Tokyo,Dry Cleaning
7371377,Aman Tokyo,Meeting rooms
7371377,Aman Tokyo,Hot Tub
7371377,Aman Tokyo,Non-smoking rooms
7371377,Aman Tokyo,Business center
7371377,Aman Tokyo,Fitness center
7371377,Aman Tokyo,Laundry Service
7371377,Aman Tokyo,Concierge
7371377,Aman Tokyo,Banquet Room
7371377,Aman Tokyo,Air conditioning
7371377,Aman Tokyo,Multilingual Staff
7371377,Aman Tokyo,Smoking rooms available
7371377,Aman Tokyo,Accessible rooms
7371377,Aman Tokyo,Refrigerator in room
7371377,Aman Tokyo,Minibar
7371377,Aman Tokyo,Conference Facilities
7371377,Aman Tokyo,Babysitting
7371377,Aman Tokyo,Non-smoking hotel
7371377,Aman Tokyo,Safe
7371377,Aman Tokyo,All-Inclusive
7371377,Aman Tokyo,Heated pool
7371377,Aman Tokyo,Flatscreen TV
7371377,Aman Tokyo,Indoor pool
7371377,Aman Tokyo,Butler Service
7371377,Aman Tokyo,Breakfast Available
7371377,Aman Tokyo,Parking
7371377,Aman Tokyo,Additional Bathroom
7371377,Aman Tokyo,Baggage Storage
7371377,Aman Tokyo,Bathrobes
7371377,Aman Tokyo,Bicycle Rental
7371377,Aman Tokyo,24-Hour Check-in
7371377,Aman Tokyo,Chinese
7371377,Aman Tokyo,Coffee Shop
7371377,Aman Tokyo,Complimentary Tea
7371377,Aman Tokyo,Facial Treatments
7371377,Aman Tokyo,Fireplace
7371377,Aman Tokyo,Fitness / Spa Locker Rooms
7371377,Aman Tokyo,Foot Massage
7371377,Aman Tokyo,24-Hour Front Desk
7371377,Aman Tokyo,Full Body Massage
7371377,Aman Tokyo,Ironing Service
7371377,Aman Tokyo,Japanese
7371377,Aman Tokyo,Massage
7371377,Aman Tokyo,Newspaper
7371377,Aman Tokyo,Pool with View
7371377,Aman Tokyo,Paid Private Parking On-site
7371377,Aman Tokyo,24-Hour Security
7371377,Aman Tokyo,Valet Parking
7371377,Aman Tokyo,Wake Up Service / Alarm Clock
301411,Mandarin Oriental Bangkok,Pool
301411,Mandarin Oriental Bangkok,Internet
301411,Mandarin Oriental Bangkok,Shuttle Bus Service
301411,Mandarin Oriental Bangkok,Suites
301411,Mandarin Oriental Bangkok,Room service
301411,Mandarin Oriental Bangkok,Free Internet
301411,Mandarin Oriental Bangkok,Free parking
301411,Mandarin Oriental Bangkok,Wheelchair access
301411,Mandarin Oriental Bangkok,Restaurant
301411,Mandarin Oriental Bangkok,Bar/Lounge
301411,Mandarin Oriental Bangkok,Spa
301411,Mandarin Oriental Bangkok,Airport transportation
301411,Mandarin Oriental Bangkok,Wifi
301411,Mandarin Oriental Bangkok,Free Wifi
301411,Mandarin Oriental Bangkok,Paid Wifi
301411,Mandarin Oriental Bangkok,Dry Cleaning
301411,Mandarin Oriental Bangkok,Meeting rooms
301411,Mandarin Oriental Bangkok,Hot Tub
301411,Mandarin Oriental Bangkok,Non-smoking rooms
301411,Mandarin Oriental Bangkok,Tennis Court
301411,Mandarin Oriental Bangkok,Business center
301411,Mandarin Oriental Bangkok,Fitness center
301411,Mandarin Oriental Bangkok,Laundry Service
301411,Mandarin Oriental Bangkok,Concierge
301411,Mandarin Oriental Bangkok,Banquet Room
301411,Mandarin Oriental Bangkok,Air conditioning
301411,Mandarin Oriental Bangkok,Family Rooms
301411,Mandarin Oriental Bangkok,Multilingual Staff
301411,Mandarin Oriental Bangkok,Smoking rooms available
301411,Mandarin Oriental Bangkok,Accessible rooms
